Module                  Size  Used by
amlogic_tee            40960  11 jpegenc,encoder,amvdec_vp9_v4l,amvdec_vp9,adla_core,decoder_common,firmware,amlogic_dvb_demux,protected_memory_allocator,aml_media,aml_smmu
tee                   135168  13 adla_core,aml_media,optee,amlogic_tee
amlogic_rng            20480  0 
amlogic_spi            98304  0 
amlogic_i2c            32768  0 
amlogic_efuse_unifykey   139264  2 amlogic_snd_soc,aml_media
amlogic_mmc           147456  2 amlogic_wireless,amlogic_efuse_unifykey
cqhci                  40960  1 amlogic_mmc
amlogic_thermal        86016  1 mali_kbase
amlogic_cpufreq        57344  0 
amlogic_power          53248  6 jpegenc,encoder,decoder_common,aml_media,amlogic_input,amlogic_pm
amlogic_reset          24576  5 
gpio_regulator         20480  1 
pwm_regulator          20480  1 
amlogic_pwm            45056  5 amlogic_wireless,aml_media
amlogic_mailbox        61440  7 
amlogic_pinctrl_soc_s6   110592  18 [permanent]
amlogic_gpio           73728  76 amlogic_snd_soc,amlogic_dvb,amlogic_input,amlogic_pinctrl_soc_s6
amlogic_aoclk_soc_t5w    20480  0 [permanent]
amlogic_clk_soc_s6    167936  75 [permanent]
amlogic_clk           126976  3 aml_media,amlogic_aoclk_soc_t5w,amlogic_clk_soc_s6
clk_scmi               20480  4 
aml_cma                49152  0 
amlogic_memory_debug    98304  0 
amlogic_cpuinfo        16384  20 amvdec_av1_t5d_v4l,amvdec_av1,encoder,amvdec_mh264_v4l,amvdec_ports,adla_core,stream_input,decoder_common,media_clock,dovi_s6_5_15_stb26,mali_kbase,amlogic_pcie,amlogic_snd_soc,amlogic_dvb_demux,aml_erofs,amlogic_amfc,aml_drm,amlogic_usb,aml_media,amlogic_dvb,[permanent]
amlogic_secmon         57344  7 amlogic_snd_soc,amlogic_socinfo,amlogic_dvb,amlogic_tee,amlogic_efuse_unifykey,amlogic_thermal,amlogic_cpuinfo
amlogic_gkitool        20480  28 adla_core,amlogic_pcie,amlogic_seckey,sysled_rgb,amlogic_rtc,dwc_otg,amlogic_wireless,amlogic_amfc,aml_drm,amlogic_usb,aml_media,amlogic_dvb,amlogic_watchdog,amlogic_input,amlogic_adc,amlogic_pm,amlogic_efuse_unifykey,amlogic_mmc,amlogic_thermal,amlogic_cpufreq,amlogic_power,amlogic_reset,amlogic_pwm,amlogic_gpio,amlogic_clk,aml_cma,amlogic_memory_debug,amlogic_secmon
amlogic_hwspinlock     20480  0 
amlogic_uart           36864  0 
